code,category_friendly_name,examples,category,parent_category
00500,Abrasive equipment and materials,"Abrasive Equipment and Tools | Abrasives, Coated: Cloth, Fiber, Sandpaper, etc. | Abrasives, Sandblasting, Metal | Abrasives, Sandblasting (Other than Metal) | Abrasives, Solid: Wheels, Stones, etc. | Abrasives, Tumbling (Wheel) | Grinding and Polishing Compounds: Carborundum, Diamond, etc. (For Valve Grinding Compounds See Class 075) | Pumice Stone | Recycled Abrasives Products and Supplies | Steel Wool, Aluminum Wool, and Copper Wool",ABRASIVES,Apparel
00500,Abrasive equipment and materials,"Abrasive Equipment and Tools | Abrasives, Coated: Cloth, Fiber, Sandpaper, etc. | Abrasives, Sandblasting, Metal | Abrasives, Sandblasting (Other than Metal) | Abrasives, Solid: Wheels, Stones, etc. | Abrasives, Tumbling (Wheel) | Grinding and Polishing Compounds: Carborundum, Diamond, etc. (For Valve Grinding Compounds See Class 075) | Pumice Stone | Recycled Abrasives Products and Supplies | Steel Wool, Aluminum Wool, and Copper Wool",ABRASIVES,Apparel
96800 | 96100 | 96200 | 91800,Public works related services,"Back Flow Preventer Testing Services | Corrosion Control Services | Crushing, Screening, etc. of Stone and Other Road Materials | Ditch Maintenance | Dredging Services | Dust Control Watering | Foundry Services | Graffiti Removal Services | Incinerator Services | Inspection Services, Construction Type | Leaf, Bush, Tree Limb Collection | Meter Reading Services | Parking Meter Services (Including Collection, Installation, and Removal) | Pavement Marking Services (Including Removal of Markings) | Pavement Data Collection Services | Relocation and/or Removal Services for Utility Works | Response and Recovery Services, Roadway Incident | Right of Way Services (Including Title, Appraisal, Negotiation, Closing, Relocation, Condemnation, etc.) | Sandblasting Services (See 910-83 for Sandblasting of Buildings) | Solid or Liquid Waste Disposal (Including Management Services) (See 926-45 for Hazardous Waste Disposal) | Snow and Ice Removal Services | Storm Drain Cleaning, Repair, and Sludge Removal Services | Street Sweeping Services | Streetscaping Services | Street Light Maintenance and Repair | Tank Installation, Removal, Disposal, and Related Services (Including Underground Type) | Telephone (Utility, Light) Pole Installation, and Relocation Service | Traffic Sign Installation and/or Removal Services | Traffic Sign Maintenance and Repair | Traffic Signal Installation | Traffic Signal Maintenance and Repair | Traffic Control Services (To Include Placement and Removal of Control Devices) | Traffic Counting Services | Tree and Shrub Removal Services | Traffic Studies and Analysis Services | Vehicle Towing and Storage | Water Supply Analysis, Infrastructure Analysis, Water Quality Analysis, and Long Term Planning | Water Supply Plant Operating and Monitoring System Services (Including Water Resources Development and Water Quality Management Services) | Well Pointing Services (Dewatering) | Waterproofing Systems and Repair | Wastewater Treatment Plant, Operations, Testing, and Maintenance | Water and Wastewater Treatment Services | Wrecking and Removal Services | Sign Painting Services | Sign Making Services | Utility Services, Electric, Gas, Water | Water and Petroleum Pipeline Services | Cesspool Cleaning and Maintenance | Chemical Treatment of Boiler and Tower Water | Leak Detection Services: Gas, Water, Chemical | Utility Locator Service (Underground) | Video Scanning of Sewers, Waterwells, etc. | Utilities: Gas, Water, Electric Consulting",PUBLIC WORKS AND RELATED SERVICES,Technology supplies and services
96800 | 96100 | 96200 | 91800,Public works related services,"Back Flow Preventer Testing Services | Corrosion Control Services | Crushing, Screening, etc. of Stone and Other Road Materials | Ditch Maintenance | Dredging Services | Dust Control Watering | Foundry Services | Graffiti Removal Services | Incinerator Services | Inspection Services, Construction Type | Leaf, Bush, Tree Limb Collection | Meter Reading Services | Parking Meter Services (Including Collection, Installation, and Removal) | Pavement Marking Services (Including Removal of Markings) | Pavement Data Collection Services | Relocation and/or Removal Services for Utility Works | Response and Recovery Services, Roadway Incident | Right of Way Services (Including Title, Appraisal, Negotiation, Closing, Relocation, Condemnation, etc.) | Sandblasting Services (See 910-83 for Sandblasting of Buildings) | Solid or Liquid Waste Disposal (Including Management Services) (See 926-45 for Hazardous Waste Disposal) | Snow and Ice Removal Services | Storm Drain Cleaning, Repair, and Sludge Removal Services | Street Sweeping Services | Streetscaping Services | Street Light Maintenance and Repair | Tank Installation, Removal, Disposal, and Related Services (Including Underground Type) | Telephone (Utility, Light) Pole Installation, and Relocation Service | Traffic Sign Installation and/or Removal Services | Traffic Sign Maintenance and Repair | Traffic Signal Installation | Traffic Signal Maintenance and Repair | Traffic Control Services (To Include Placement and Removal of Control Devices) | Traffic Counting Services | Tree and Shrub Removal Services | Traffic Studies and Analysis Services | Vehicle Towing and Storage | Water Supply Analysis, Infrastructure Analysis, Water Quality Analysis, and Long Term Planning | Water Supply Plant Operating and Monitoring System Services (Including Water Resources Development and Water Quality Management Services) | Well Pointing Services (Dewatering) | Waterproofing Systems and Repair | Wastewater Treatment Plant, Operations, Testing, and Maintenance | Water and Wastewater Treatment Services | Wrecking and Removal Services | Sign Painting Services | Sign Making Services | Utility Services, Electric, Gas, Water | Water and Petroleum Pipeline Services | Cesspool Cleaning and Maintenance | Chemical Treatment of Boiler and Tower Water | Leak Detection Services: Gas, Water, Chemical | Utility Locator Service (Underground) | Video Scanning of Sewers, Waterwells, etc. | Utilities: Gas, Water, Electric Consulting",PUBLIC WORKS AND RELATED SERVICES,Technology supplies and services
98800 | 96200 | 91800,Grounds and parks maintenance services,"Arborist Services | Athletic Field Maintenance | Cleaning of Amusement Areas, Exposition Centers, Grounds, Parks, Picnic Areas, Rest Areas, Etc. | Cleaning of Roadside Park (Rest Stop) Areas Including Privy Vaults, Septic Tanks and Trash Cans | Erosion Control Services | Fence Installation, Maintenance and Repair | Fire Break Services | Flood Control Services | Flora Protection Services | Golf Course Management and Operation | Grading (Of Parking Lots, etc. - Not Road Building) | Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc. | Hydromulching Services | Ice Production Services for Skating Rinks | Landfill Services | Landscaping (Including Design, Fertilizing, Planting, etc., But Not Grounds Maintenance or Tree Trimming Services) | Lighting Services for Parks, Athletic Fields, Parking Lots, etc. | Litter Removal Services (Including Beach Cleaning) (For Buildings See 910-27) | Mulch/Compost Production Services | Park Area Construction/Renovation | Parks Systems Administrative Services | Parks Systems Technical Services | Pest Control (Other Than Buildings) | Roadside Maintenance Services (Including Mowing, etc.) | Skating Rink Maintenance and Repair, to Include Resurfacing, Ice | Skating Rink Maintenance and Repair, to Include Resurfacing, Roller | Ski Trail Maintenance and Repair | Swimming Pool Management and Operation | Tree Trimming and Pruning Services | Weed and Vegetation Control (Including Aquatic Weed Control) | Sign Painting Services | Sign Making Services | Restoration/Reclamation Services of Land and Other Properties | Removal of Wood, Wood Chips, Bark, etc. | Landscaping Consulting | Horticultural consulting","ROADSIDE, GROUNDS, RECREATIONAL AND PARK AREA SERVICES",Technology supplies and services
98800 | 96200 | 91800,Grounds and parks maintenance services,"Arborist Services | Athletic Field Maintenance | Cleaning of Amusement Areas, Exposition Centers, Grounds, Parks, Picnic Areas, Rest Areas, Etc. | Cleaning of Roadside Park (Rest Stop) Areas Including Privy Vaults, Septic Tanks and Trash Cans | Erosion Control Services | Fence Installation, Maintenance and Repair | Fire Break Services | Flood Control Services | Flora Protection Services | Golf Course Management and Operation | Grading (Of Parking Lots, etc. - Not Road Building) | Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc. | Hydromulching Services | Ice Production Services for Skating Rinks | Landfill Services | Landscaping (Including Design, Fertilizing, Planting, etc., But Not Grounds Maintenance or Tree Trimming Services) | Lighting Services for Parks, Athletic Fields, Parking Lots, etc. | Litter Removal Services (Including Beach Cleaning) (For Buildings See 910-27) | Mulch/Compost Production Services | Park Area Construction/Renovation | Parks Systems Administrative Services | Parks Systems Technical Services | Pest Control (Other Than Buildings) | Roadside Maintenance Services (Including Mowing, etc.) | Skating Rink Maintenance and Repair, to Include Resurfacing, Ice | Skating Rink Maintenance and Repair, to Include Resurfacing, Roller | Ski Trail Maintenance and Repair | Swimming Pool Management and Operation | Tree Trimming and Pruning Services | Weed and Vegetation Control (Including Aquatic Weed Control) | Sign Painting Services | Sign Making Services | Restoration/Reclamation Services of Land and Other Properties | Removal of Wood, Wood Chips, Bark, etc. | Landscaping Consulting | Horticultural consulting","ROADSIDE, GROUNDS, RECREATIONAL AND PARK AREA SERVICES",Technology supplies and services
98900 | 96100 | 96200,"Laboratory, sampling and sample preparation services",Asphalt Sampling and Inspection Services | Chemical Sampling and Preparation Services | Food Sampling and Preparation Services | Grain Sampling and Preparation Services | Oil Well Sampling and Core Sample (Billets) Preparation Services | Soil Sampling and Preparation Services | Water Sampling and Analysis Services | Laboratory and Field Testing Services | Laboratory Services which Monitor the Equipment that uses Lubricating Oil or Grease | Chemical Laboratory Services | Forensic Services,SAMPLING AND SAMPLE PREPARATION SERVICES (FOR TESTING),Technology supplies and services
99000 | 96100 | 96200 | 91800,Public safety and emergency services,"Alarm Services | Armored Car Services | Bomb and Explosives Disposal Services | Card Access Security Services | Crime Prevention Services | Crossing Guard Services | Disaster Preparedness/Emergency Planning Services | Disaster Relief Services | Dispatching Services, Police | Driver's License Services | Drug Detection Services (Including Use of Drug Sniffing Dogs) | Emergency Medical Services (See 948-12 for Ambulance Services) | Emergency Personnel Recall Service | Emergency Systems Monitoring Service to include Alarms and Operational Readiness Reporting | Fingerprinting Services | Fire and Safety Services | Fire Fighting Services, Oil and Gas Wells (See 952-44 for other Fire Fighting Services) | Guard and Security Services | Installation of Security Equipment | Investigative Services | Lie Detection Services | Lifeguard Services | Patrol Services | Playground Safety Certification Services | Polygraph Testing Services | Rescue and Search Team Services | Safety Training and Awareness Services (Highway Safety, Boating, Seat Belt, etc.) | Security Services, Hazardous Waste Site | Surveillance Services | X-Ray Film Badge Services | Fugitive Escort Services | Lock Box (Caging) Services | Law Enforcement Services (Including Process Server Services) | Ballastic Testing | Bomb and Other Explosives Detection Services | Hose Testing Services (Fire, Water, etc.) | Protection Services (Not Including Buildings) | Removal and Pickup of Dead Bodies | Natural Disasters (Fire, Flood, Wind, Quakes) Consulting | Security/Safety Consulting","SECURITY, FIRE, SAFETY, AND EMERGENCY SERVICES",Utilities
99000 | 96100 | 96200 | 91800,Public safety and emergency services,"Alarm Services | Armored Car Services | Bomb and Explosives Disposal Services | Card Access Security Services | Crime Prevention Services | Crossing Guard Services | Disaster Preparedness/Emergency Planning Services | Disaster Relief Services | Dispatching Services, Police | Driver's License Services | Drug Detection Services (Including Use of Drug Sniffing Dogs) | Emergency Medical Services (See 948-12 for Ambulance Services) | Emergency Personnel Recall Service | Emergency Systems Monitoring Service to include Alarms and Operational Readiness Reporting | Fingerprinting Services | Fire and Safety Services | Fire Fighting Services, Oil and Gas Wells (See 952-44 for other Fire Fighting Services) | Guard and Security Services | Installation of Security Equipment | Investigative Services | Lie Detection Services | Lifeguard Services | Patrol Services | Playground Safety Certification Services | Polygraph Testing Services | Rescue and Search Team Services | Safety Training and Awareness Services (Highway Safety, Boating, Seat Belt, etc.) | Security Services, Hazardous Waste Site | Surveillance Services | X-Ray Film Badge Services | Fugitive Escort Services | Lock Box (Caging) Services | Law Enforcement Services (Including Process Server Services) | Ballastic Testing | Bomb and Other Explosives Detection Services | Hose Testing Services (Fire, Water, etc.) | Protection Services (Not Including Buildings) | Removal and Pickup of Dead Bodies | Natural Disasters (Fire, Flood, Wind, Quakes) Consulting | Security/Safety Consulting","SECURITY, FIRE, SAFETY, AND EMERGENCY SERVICES",Utilities
99200 | 96100,Equipment testing and calibration services,"Automotive and Road Equipment Testing and Calibration Services | Ballistics Testing Services | Biological Testing Services | Chemical Testing Services (For Laboratory Testing, See 962-22) | Concrete Testing Services | Core Sample (Not Concrete) Testing Services | Electronic and Electrical Cable Testing Services | Gaseous Fuel Tank Testing Services, Vehicular | Medical Equipment Testing and Calibration Services (Not X-Ray) | Miscellaneous Testing and Calibration Services | Office Equipment Testing Services | Oil Field Equipment Testing Services | Paint Testing Services | Pressure Testing Services (Fuel Tanks, Pressure Tanks, etc) | Radar Equipment Testing and Calibration Services | Radio Instrument Testing and Calibration Services | Scientific Equipment Testing and Calibration Services | Textile Testing Services | Underground Leak Testing Services | Video Instrument Testing and Calibration Services | X-Ray Equipment Testing and Calibration Services | Satellite Global Information Positioning System Services | Scanning and Testing for Electrical Hot-Spots, etc. | Telemetry Services",TESTING AND CALIBRATION SERVICES,Utilities
99200 | 96100,Equipment testing and calibration services,"Automotive and Road Equipment Testing and Calibration Services | Ballistics Testing Services | Biological Testing Services | Chemical Testing Services (For Laboratory Testing, See 962-22) | Concrete Testing Services | Core Sample (Not Concrete) Testing Services | Electronic and Electrical Cable Testing Services | Gaseous Fuel Tank Testing Services, Vehicular | Medical Equipment Testing and Calibration Services (Not X-Ray) | Miscellaneous Testing and Calibration Services | Office Equipment Testing Services | Oil Field Equipment Testing Services | Paint Testing Services | Pressure Testing Services (Fuel Tanks, Pressure Tanks, etc) | Radar Equipment Testing and Calibration Services | Radio Instrument Testing and Calibration Services | Scientific Equipment Testing and Calibration Services | Textile Testing Services | Underground Leak Testing Services | Video Instrument Testing and Calibration Services | X-Ray Equipment Testing and Calibration Services | Satellite Global Information Positioning System Services | Scanning and Testing for Electrical Hot-Spots, etc. | Telemetry Services",TESTING AND CALIBRATION SERVICES,Utilities
99800 | 96100 | 96200,Resale of surplus items services,"Aircraft and Aviation Parts, Equipment | Agriculture Equipment and Commodities | Ammunition, Explosives, and Weapons (Licensed Dealers Only) | Animals and Livestock | Arts and Crafts | Automobile, Truck and Bus Parts and Equipment | Bags, All Types | Barber and Beauty Shop Equipment | Barrels, Drums, Cans, Pails, etc. | Batteries, All Types | Boats and Marine Equipment | Books, All Types (Library, School, etc.) | Builders Supplies | Buses, Transit and School | Cafeteria and Kitchen Equipment (Including Food Service Equipment) | Chemicals, All Types | Clocks, Watches, Timepieces, All Types | Clothing | Communication Equipment (Including Radio, Television, Telephone, VCR, Video/Audio Equipment, etc.) | Computers, Parts and Supplies | Confiscated and Personal Merchandise | Copy Machines | Dairy Equipment | Drugs, First Aid, Veterinary | Equipment, Heavy | Electrical Supplies | Engineering Equipment and Supplies (Including Survey Equipment and Instruments) | Escalators and Elevators | Fertilizer | Fire and Police Equipment (Not Otherwise Classified) | Food | Furniture | Glass | Garbage | Garbage and Refuse Containers | Hardware | Heating, Air Conditioning, Ventilating & Refrigeration Equipment | Highway Equipment (Tractors, Loaders, Graders, Dozers, etc.) | Laboratory Equipment | Laundry Equipment | Library Equipment | Lumber and Pilings | Machinery | Mailing Equipment (Including Shipping Containers) | Medical and Dental Equipment and Supplies | Metal, Scrap | Metals, Precious | Musical Equipment | Metals other than Scrap (All Types) | Office Equipment (Not Copiers) | Oils and Other Petroleum Products, Waste | Paper and Paper Products (Including Boxes) | Photographic Equipment | Parking and Water Meters | Plumbing Equipment and Supplies | Pipe, Valves and Fittings | Public Utility Equipment | Printing Equipment | Rags | Rail Equipment and Accessories | Real Estate (Incl. Buildings, Houses, Land, etc) | Recyclable Materials: Books, Paper, Glass, Metal, etc. | Road and Highway Materials (Including Testing Equipment) | Scales and Weighing Apparatus | School Equipment | Tools, All Types | Sporting Equipment | Traffic Signals and Control Equipment | Tires and Tubes (Including Retreading Material and Equipment) | Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses) | Welding Equipment | Voting Machines and Other Election Equipment | Reverse Auctions | Auctioneering Services",SALE OF SURPLUS & OBSOLETE ITEMS,Utilities
99800 | 96100 | 96200,Resale of surplus items services,"Aircraft and Aviation Parts, Equipment | Agriculture Equipment and Commodities | Ammunition, Explosives, and Weapons (Licensed Dealers Only) | Animals and Livestock | Arts and Crafts | Automobile, Truck and Bus Parts and Equipment | Bags, All Types | Barber and Beauty Shop Equipment | Barrels, Drums, Cans, Pails, etc. | Batteries, All Types | Boats and Marine Equipment | Books, All Types (Library, School, etc.) | Builders Supplies | Buses, Transit and School | Cafeteria and Kitchen Equipment (Including Food Service Equipment) | Chemicals, All Types | Clocks, Watches, Timepieces, All Types | Clothing | Communication Equipment (Including Radio, Television, Telephone, VCR, Video/Audio Equipment, etc.) | Computers, Parts and Supplies | Confiscated and Personal Merchandise | Copy Machines | Dairy Equipment | Drugs, First Aid, Veterinary | Equipment, Heavy | Electrical Supplies | Engineering Equipment and Supplies (Including Survey Equipment and Instruments) | Escalators and Elevators | Fertilizer | Fire and Police Equipment (Not Otherwise Classified) | Food | Furniture | Glass | Garbage | Garbage and Refuse Containers | Hardware | Heating, Air Conditioning, Ventilating & Refrigeration Equipment | Highway Equipment (Tractors, Loaders, Graders, Dozers, etc.) | Laboratory Equipment | Laundry Equipment | Library Equipment | Lumber and Pilings | Machinery | Mailing Equipment (Including Shipping Containers) | Medical and Dental Equipment and Supplies | Metal, Scrap | Metals, Precious | Musical Equipment | Metals other than Scrap (All Types) | Office Equipment (Not Copiers) | Oils and Other Petroleum Products, Waste | Paper and Paper Products (Including Boxes) | Photographic Equipment | Parking and Water Meters | Plumbing Equipment and Supplies | Pipe, Valves and Fittings | Public Utility Equipment | Printing Equipment | Rags | Rail Equipment and Accessories | Real Estate (Incl. Buildings, Houses, Land, etc) | Recyclable Materials: Books, Paper, Glass, Metal, etc. | Road and Highway Materials (Including Testing Equipment) | Scales and Weighing Apparatus | School Equipment | Tools, All Types | Sporting Equipment | Traffic Signals and Control Equipment | Tires and Tubes (Including Retreading Material and Equipment) | Vehicles, Including Automobiles, Trucks, Trailers, Vans, Motor Homes, Motorcycles and Scooters, etc. (See 998-20 for Buses) | Welding Equipment | Voting Machines and Other Election Equipment | Reverse Auctions | Auctioneering Services",SALE OF SURPLUS & OBSOLETE ITEMS,Utilities
